0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409.064,409.066,409.067,409.068,409.068,409.069,409.069,409.068,409.068,409.067,409.065,409.064,407.837,408.366,408.768,409.045,409.215,409.314,409.371,409.404,409.407,409.348,409.185,329.395,329.397,329.398,329.399,329.4,329.4,329.4,329.399,329.398,329.397,329.396,329.167,329.439,329.567,329.581,329.526,329.443,329.363,329.302,329.252,329.192,329.085,332.481,333.033,333.386,333.562,333.61,333.589,333.545,333.501,333.452,333.368,333.205,332.92,333.344,333.345,333.346,333.347,333.348,333.348,333.348,333.348,333.347,333.346,333.345,412.731,413.045,413.21,413.272,413.272,413.232,413.145,412.977,412.683,412.225,411.587,412.892,412.893,412.894,412.895,412.895,412.895,412.895,412.894,412.893,412.892,412.89,491.228,491.285,491.287,491.238,491.107,490.843,490.393,489.732,488.874,487.871,486.8,485.736,489.738,489.739,489.741,489.742,489.743,489.744,489.744,489.745,489.745,489.745,489.744,547.277,546.748,546.332,545.992,545.667,545.284,544.787,544.15,543.387,542.545,541.69,544.947,544.949,544.951,544.952,544.953,544.954,544.953,544.952,544.951,544.949,544.947,546.47,546.47,546.469,546.469,546.468,546.467,546.466,546.465,546.465,546.464,546.463,546.463,543.118,544.003,544.906,545.746,546.448,546.973,547.333,547.587,547.821,548.122,548.545,490.387,490.388,490.387,490.387,490.387,490.386,490.385,490.384,490.383,490.382,490.381,487.62,488.555,489.433,490.175,490.725,491.062,491.211,491.222,491.161,491.078,490.998,490.912
409.114,409.117,409.119,409.122,409.123,409.124,409.124,409.123,409.122,409.119,409.116,409.113,407.799,408.327,408.728,409.004,409.174,409.272,409.33,409.363,409.366,409.308,409.147,329.444,329.447,329.45,329.452,329.454,329.454,329.454,329.453,329.451,329.448,329.444,329.128,329.399,329.525,329.539,329.483,329.399,329.32,329.259,329.211,329.151,329.046,332.44,332.99,333.342,333.517,333.564,333.542,333.498,333.455,333.407,333.323,333.161,332.878,333.392,333.396,333.399,333.401,333.402,333.403,333.403,333.402,333.4,333.397,333.394,412.691,413.004,413.168,413.229,413.228,413.188,413.101,412.934,412.641,412.184,411.547,412.94,412.943,412.945,412.947,412.947,412.947,412.946,412.944,412.942,412.939,412.936,491.188,491.244,491.245,491.195,491.064,490.799,490.349,489.688,488.83,487.829,486.759,485.696,489.784,489.787,489.789,489.792,489.794,489.796,489.797,489.798,489.798,489.798,489.797,547.23,546.699,546.281,545.94,545.615,545.232,544.735,544.098,543.335,542.495,541.64,545.006,545.01,545.014,545.017,545.019,545.02,545.019,545.017,545.014,545.01,545.005,546.53,546.529,546.528,546.526,546.525,546.523,546.521,546.519,546.518,546.516,546.515,546.514,543.075,543.959,544.86,545.699,546.4,546.925,547.285,547.54,547.776,548.078,548.504,490.437,490.437,490.437,490.437,490.435,490.434,490.432,490.43,490.427,490.425,490.422,487.58,488.514,489.391,490.132,490.681,491.019,491.167,491.18,491.119,491.037,490.958,490.874
409.173,409.179,409.183,409.187,409.19,409.191,409.191,409.19,409.187,409.184,409.179,409.173,407.752,408.279,408.679,408.953,409.123,409.221,409.278,409.312,409.316,409.259,409.1,329.503,329.509,329.514,329.517,329.52,329.521,329.52,329.518,329.515,329.51,329.505,329.081,329.349,329.474,329.487,329.43,329.346,329.267,329.207,329.159,329.1,328.997,332.388,332.937,333.287,333.46,333.507,333.485,333.441,333.398,333.35,333.268,333.107,332.826,333.452,333.458,333.463,333.466,333.469,333.47,333.469,333.468,333.465,333.461,333.456,412.643,412.953,413.116,413.175,413.174,413.134,413.047,412.88,412.589,412.133,411.498,412.999,413.004,413.008,413.011,413.012,413.011,413.009,413.006,413.002,412.997,412.992,491.139,491.193,491.193,491.142,491.01,490.745,490.295,489.635,488.778,487.778,486.709,485.648,489.839,489.843,489.848,489.851,489.855,489.858,489.86,489.861,489.861,489.861,489.859,547.174,546.641,546.222,545.88,545.554,545.171,544.675,544.038,543.276,542.436,541.582,545.074,545.08,545.086,545.091,545.094,545.095,545.095,545.092,545.087,545.08,545.072,546.599,546.597,546.595,546.592,546.589,546.587,546.584,546.581,546.579,546.577,546.575,546.573,543.026,543.907,544.807,545.643,546.344,546.868,547.228,547.484,547.722,548.026,548.455,490.495,490.496,490.496,490.495,490.493,490.491,490.488,490.484,490.481,490.477,490.473,487.533,488.465,489.34,490.081,490.629,490.966,491.114,491.127,491.068,490.987,490.909,490.827
409.245,409.253,409.26,409.266,409.27,409.272,409.273,409.271,409.267,409.262,409.255,409.246,407.695,408.22,408.618,408.892,409.06,409.158,409.216,409.25,409.255,409.199,409.042,329.576,329.584,329.592,329.597,329.601,329.602,329.601,329.599,329.594,329.587,329.578,329.021,329.288,329.411,329.422,329.365,329.281,329.202,329.142,329.095,329.038,328.937,332.325,332.872,333.219,333.391,333.437,333.414,333.37,333.327,333.281,333.2,333.041,332.761,333.525,333.534,333.541,333.546,333.55,333.551,333.551,333.548,333.544,333.538,333.53,412.583,412.891,413.051,413.109,413.107,413.067,412.98,412.815,412.524,412.071,411.439,413.072,413.079,413.085,413.088,413.09,413.089,413.086,413.081,413.075,413.068,413.059,491.08,491.132,491.13,491.078,490.946,490.68,490.23,489.57,488.715,487.716,486.649,485.591,489.904,489.91,489.916,489.922,489.926,489.93,489.933,489.935,489.935,489.934,489.931,547.109,546.574,546.153,545.81,545.483,545.101,544.605,543.969,543.208,542.369,541.517,545.151,545.16,545.168,545.175,545.18,545.182,545.181,545.176,545.169,545.16,545.148,546.677,546.674,546.671,546.667,546.663,546.659,546.655,546.651,546.648,546.645,546.643,546.641,542.968,543.847,544.744,545.579,546.278,546.801,547.162,547.419,547.658,547.964,548.396,490.564,490.566,490.566,490.565,490.563,490.559,490.554,490.55,490.544,490.539,490.533,487.477,488.406,489.28,490.018,490.565,490.902,491.051,491.064,491.005,490.926,490.85,490.77
409.331,409.343,409.353,409.361,409.367,409.37,409.371,409.369,409.364,409.357,409.347,409.335,407.626,408.148,408.545,408.817,408.985,409.081,409.139,409.174,409.18,409.126,408.971,329.664,329.676,329.686,329.694,329.699,329.701,329.7,329.696,329.689,329.68,329.668,328.949,329.213,329.334,329.344,329.285,329.201,329.122,329.063,329.017,328.962,328.863,332.248,332.792,333.137,333.307,333.351,333.328,333.283,333.241,333.196,333.117,332.96,332.683,333.614,333.626,333.636,333.644,333.648,333.65,333.65,333.646,333.64,333.632,333.621,412.509,412.814,412.972,413.029,413.026,412.985,412.899,412.734,412.446,411.995,411.366,413.16,413.17,413.178,413.182,413.184,413.182,413.178,413.172,413.163,413.152,413.141,491.007,491.057,491.054,491.001,490.867,490.601,490.152,489.493,488.639,487.642,486.578,485.522,489.981,489.989,489.997,490.004,490.01,490.015,490.019,490.021,490.021,490.019,490.015,547.033,546.495,546.072,545.729,545.402,545.02,544.525,543.89,543.131,542.293,541.442,545.238,545.25,545.261,545.27,545.276,545.279,545.277,545.272,545.263,545.25,545.234,546.766,546.762,546.757,546.752,546.746,546.741,546.735,546.73,546.726,546.723,546.72,546.718,542.903,543.778,544.672,545.504,546.201,546.723,547.084,547.341,547.582,547.892,548.326,490.645,490.648,490.649,490.647,490.644,490.639,490.633,490.627,490.62,490.613,490.605,487.41,488.336,489.207,489.943,490.489,490.825,490.973,490.987,490.93,490.852,490.778,490.7
